Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,101.45,67.86,53.35,50.07,40.06,15.04,14.37,17.51,18.14,16.66,22.89,30.40
Plow Back,-1.45,32.14,46.65,49.93,59.94,84.96,85.63,82.49,81.86,83.34,77.11,69.60
Return on Equity,6.83,12.20,13.69,10.21,13.75,13.45,14.70,12.50,10.22,12.28,8.33,6.10
Return on Assets,5.66,10.41,11.89,8.89,12.12,11.75,12.64,10.79,8.79,10.49,7.06,5.32
Book Value per Share,360.97,362.42,410.67,391.12,363.08,321.34,284.14,274.04,269.75,244.41,262.27,269.47
Earning Per Share,24.64,44.21,56.23,39.94,49.92,43.21,41.77,34.26,27.56,27.29,21.85,14.95
Net Working Capital to Total Asseets,0.33,0.36,0.36,0.37,0.43,0.40,0.36,0.31,0.27,0.24,0.19,0.16
Current Ratio,3.61,4.65,4.80,5.03,5.81,5.02,4.29,4.08,3.86,3.16,2.72,2.79
Acid Test,2.39,3.29,3.50,3.41,3.94,3.75,3.15,2.68,2.27,1.57,1.39,1.15
Times Interest Earned,37.99,98.51,91.79,81.94,775.44,829.66,740.52,362.48,377.38,181.39,210.25,64.71
Total Debt Ratio,0.17,0.15,0.13,0.13,0.12,0.13,0.14,0.14,0.14,0.15,0.15,0.13
Debt To Equity,0.21,0.17,0.15,0.15,0.13,0.14,0.16,0.16,0.16,0.17,0.18,0.15
Return on Capital Employed,0.10,0.16,0.19,0.15,0.18,0.21,0.21,0.18,0.15,0.18,0.13,0.09
Average Collection Period,1.05,0.53,1.07,4.21,3.17,1.48,0.86,2.94,3.91,6.02,5.50,14.27
Days sales Inventory,101.51,79.10,81.85,112.68,130.98,101.60,105.45,120.48,130.30,145.15,137.10,138.57
Total Assets Turnover,0.75,0.85,0.81,0.69,0.70,0.71,0.68,0.65,0.62,0.68,0.58,0.55
Gross Profit Margin,25.58,27.52,32.38,30.35,33.70,35.53,35.31,33.99,32.37,33.82,31.05,28.02
Net Profit Margin,7.58,12.25,14.63,12.90,17.29,16.52,18.65,16.56,14.23,15.52,12.23,9.73
