Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,42.02,33.47,0.00,66.47,0.00,39.95,41.85,0.00,41.65,45.08
Plow Back,100.00,100.00,100.00,57.98,66.53,100.00,33.53,100.00,60.05,58.15,100.00,58.35,54.92
Return on Equity,-2.40,1.35,-51.24,11.30,15.18,-9.12,3.23,-0.07,18.03,32.23,-8.89,31.16,18.14
Return on Assets,-1.22,0.70,-13.23,4.67,11.07,-5.01,2.52,-0.06,13.61,26.66,-7.42,23.34,14.34
Book Value per Share,202.79,204.80,66.43,105.25,98.42,83.51,93.24,90.12,97.19,92.68,64.84,77.07,61.14
Earning Per Share,-4.87,2.77,-34.04,11.90,14.94,-7.62,3.01,-0.07,17.52,29.87,-5.77,24.01,11.09
Net Working Capital to Total Asseets,-0.04,-0.04,-0.03,0.15,0.17,0.13,0.31,0.33,0.46,0.57,0.46,0.47,0.48
Current Ratio,0.82,0.84,0.93,1.50,1.71,1.32,3.65,3.98,3.33,5.92,6.04,3.45,4.32
Acid Test,0.45,0.47,0.48,0.50,1.00,0.38,1.83,1.76,2.37,1.56,5.00,3.10,2.58
Times Interest Earned,1.09,1.68,-6.37,5.32,6.89,-0.46,1.50,0.40,7.40,6.50,0.27,19.67,9.89
Total Debt Ratio,0.49,0.48,0.74,0.59,0.27,0.45,0.22,0.25,0.24,0.17,0.17,0.25,0.21
Debt To Equity,0.97,0.93,2.87,1.42,0.37,0.82,0.28,0.33,0.32,0.21,0.20,0.33,0.27
Return on Capital Employed,0.04,0.06,-0.18,0.19,0.27,-0.04,0.11,0.02,0.33,0.45,0.02,0.47,0.26
Average Collection Period,4.45,8.62,4.18,2.79,0.16,2.45,6.95,4.11,0.00,4.59,0.20,0.05,16.75
Days sales Inventory,35.11,37.81,36.62,65.49,23.89,66.54,26.61,28.56,23.15,64.91,9.14,13.68,51.31
Total Assets Turnover,0.95,0.97,1.58,1.90,2.90,2.11,3.07,3.23,3.31,3.31,3.91,2.29,2.15
Gross Profit Margin,8.56,9.11,-2.70,11.36,11.19,3.09,5.96,3.36,10.73,14.14,2.53,20.62,15.65
Net Profit Margin,-1.29,0.72,-8.38,2.46,3.81,-2.37,0.82,-0.02,4.11,8.04,-1.90,10.20,6.68
