Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-34.77,28.71,45.86,-58.68,-230.62,-402.66,-53.74,20.37,-75.32,-33.60,0.33
Return on Assets,-1.69,1.35,0.99,-0.71,-4.46,-15.84,-10.23,4.66,-18.48,-13.01,0.16
Book Value per Share,2.28,2.34,0.94,0.50,0.78,1.60,8.70,10.40,17.74,30.76,39.88
Earning Per Share,-0.84,0.67,0.43,-0.29,-1.79,-6.45,-4.67,2.12,-13.36,-10.40,0.00
Net Working Capital to Total Asseets,-0.52,-0.54,-0.62,-0.66,-0.65,-0.50,-0.29,-0.18,-0.13,0.13,-0.07
Current Ratio,0.44,0.42,0.34,0.30,0.29,0.36,0.48,0.61,0.80,1.33,0.82
Acid Test,0.29,0.29,0.20,0.19,0.18,0.21,0.34,0.37,0.66,1.04,0.50
Times Interest Earned,0.83,1.33,1.26,0.96,0.43,-1.39,-0.30,1.52,-0.74,-0.13,1.07
Total Debt Ratio,0.95,0.95,0.98,0.99,0.98,0.96,1.29,0.77,0.75,0.61,0.52
Debt To Equity,19.52,20.33,45.34,81.12,50.76,24.41,6.76,3.37,3.08,1.58,1.09
Return on Capital Employed,0.70,1.43,1.25,0.86,0.32,-0.40,-0.05,0.29,-0.23,-0.02,0.11
Average Collection Period,48.03,58.09,30.96,35.38,32.61,46.42,66.42,57.11,75.52,66.05,96.89
Days sales Inventory,83.86,62.98,71.04,66.59,59.33,78.26,49.67,64.48,92.42,88.75,205.82
Total Assets Turnover,0.74,0.89,0.80,0.68,0.72,0.58,0.64,0.66,0.35,0.49,0.31
Gross Profit Margin,14.56,17.26,16.16,14.73,11.38,9.93,7.24,3.50,-9.70,1.02,27.45
Net Profit Margin,-2.30,1.51,1.23,-1.04,-6.18,-27.42,-15.98,7.02,-52.73,-26.71,0.51
