Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,0.00,0.00,82.33,0.00,3.79,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,17.66,100.00,96.21,100.00,100.00,100.00,100.00
Return on Equity,28.39,25.61,0.81,-37.07,-4.09,13.91,8.02,37.28,14.45,-6.74,6.65,30.09
Return on Assets,15.19,13.81,0.51,-13.51,-2.75,7.30,4.17,20.81,7.88,-3.40,4.37,17.51
Book Value per Share,40.74,33.43,27.73,27.18,37.32,43.65,35.99,35.40,22.20,19.00,20.28,18.93
Earning Per Share,11.57,8.56,0.23,-10.08,-1.53,6.07,3.01,13.20,3.21,-1.28,1.35,5.70
Net Working Capital to Total Asseets,0.54,0.55,0.64,86.19,0.68,0.53,0.52,0.56,0.54,0.50,0.66,0.58
Current Ratio,2.25,2.22,2.79,138.01,3.10,2.11,2.09,2.27,2.18,2.01,2.91,2.38
Acid Test,1.45,1.61,1.53,137.37,1.46,1.25,1.19,1.43,1.46,1.01,1.94,1.83
Times Interest Earned,60.67,35.04,14.05,-4905.88,2760.04,2447.37,3634.53,6704.86,407.28,137.39,2339.44,415.36
Total Debt Ratio,0.47,0.46,0.37,0.64,0.33,0.48,0.48,0.44,0.45,0.49,0.34,0.42
Debt To Equity,0.87,0.85,0.59,1.74,0.49,0.91,0.92,0.79,0.83,0.98,0.52,0.72
Return on Capital Employed,0.43,0.41,0.23,-0.16,0.10,0.28,0.23,0.49,0.30,0.12,0.15,0.34
Average Collection Period,35.79,29.08,33.54,49.34,36.96,42.30,29.29,29.82,38.79,47.72,57.77,49.12
Days sales Inventory,142.27,91.00,113.06,141.12,139.26,153.03,135.94,143.86,92.14,168.66,130.40,115.86
Total Assets Turnover,1.35,1.65,2.16,1.28,1.78,1.30,1.49,1.45,1.80,1.43,1.34,1.16
Gross Profit Margin,33.38,33.22,32.55,17.91,22.04,25.40,22.30,35.39,27.76,25.58,30.87,37.06
Net Profit Margin,11.27,8.38,0.24,-10.54,-1.54,5.61,2.80,14.32,4.37,-2.38,3.25,15.03
