Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,40.98,51.26,73.45,0.00,0.00,0.00,0.00,0.00,18.12,16.72,22.38,0.00
Plow Back,59.02,48.74,26.55,100.00,100.00,100.00,100.00,100.00,81.88,83.28,77.62,100.00
Return on Equity,35.10,35.39,3.86,3.15,-7.51,-10.28,-4.72,-1.51,31.93,46.73,44.89,-42.39
Return on Assets,20.13,20.83,2.01,1.85,-4.33,-6.51,-2.72,-0.88,17.48,19.78,17.83,-11.56
Book Value per Share,10.43,8.27,7.05,6.79,6.58,7.07,7.65,8.02,8.64,6.40,4.98,2.74
Earning Per Share,3.66,2.93,0.27,0.21,-0.49,-0.73,-0.36,-0.12,2.76,2.99,2.23,-1.16
Net Working Capital to Total Asseets,0.38,0.33,0.16,0.20,0.14,0.14,0.14,0.11,0.18,0.26,0.20,-0.03
Current Ratio,1.90,1.80,1.35,1.48,1.33,1.38,1.37,1.28,1.45,1.73,1.66,0.91
Acid Test,1.41,1.10,0.92,0.92,0.76,0.75,0.88,0.63,0.89,1.33,1.37,0.59
Times Interest Earned,50.71,13.56,18.08,50.31,-23.29,30.96,-1.75,-0.69,27.71,30.28,16.36,-0.63
Total Debt Ratio,0.43,0.41,0.48,0.41,0.42,0.37,0.42,0.42,0.45,0.58,0.60,0.73
Debt To Equity,0.74,0.70,0.92,0.71,0.73,0.58,0.73,0.73,0.83,1.36,1.52,2.67
Return on Capital Employed,0.50,0.54,0.09,0.05,-0.06,-0.23,-0.02,-0.01,0.45,0.47,0.38,-0.07
Average Collection Period,20.74,21.63,27.77,19.85,19.17,10.06,17.78,22.80,19.93,25.29,17.40,12.07
Days sales Inventory,39.39,44.55,42.89,43.67,44.23,28.18,23.80,35.84,38.45,32.50,19.16,20.41
Total Assets Turnover,2.20,2.70,1.80,1.98,1.96,2.83,2.85,2.52,2.41,1.85,1.99,2.16
Gross Profit Margin,13.01,12.86,3.23,2.03,-0.76,-4.12,-1.25,-0.41,11.57,16.58,15.55,2.64
Net Profit Margin,9.15,7.72,1.11,0.93,-2.21,-2.30,-0.96,-0.35,7.26,10.68,8.96,-5.34
