Year,2019,2018,2017,2016,2015,2014,2013,2012,2011
Payout,0.00,37.58,56.63,143.97,46.58,60.79,83.82,54.96,176.76
Plow Back,100.00,62.42,43.37,-43.97,53.42,39.21,16.18,45.04,-76.77
Return on Equity,15.28,8.90,8.42,3.44,10.47,4.25,7.73,14.52,10.32
Return on Assets,9.25,5.15,4.89,2.06,6.25,2.92,5.21,8.60,6.26
Book Value per Share,51.21,44.87,41.94,40.41,41.02,38.72,38.58,37.60,35.64
Earning Per Share,7.82,0.00,3.53,1.39,4.29,1.65,2.98,5.46,3.68
Net Working Capital to Total Asseets,0.39,0.31,0.28,0.26,0.25,0.28,0.29,0.25,0.26
Current Ratio,1.99,1.75,1.68,1.69,1.71,1.91,1.88,1.61,1.65
Acid Test,1.89,1.63,1.57,1.57,1.60,1.71,1.78,1.55,1.56
Times Interest Earned,2.90,2.73,2.94,1.86,5.98,2.06,2.33,2.97,2.70
Total Debt Ratio,0.39,0.42,0.42,0.40,0.40,0.31,0.33,0.41,0.39
Debt To Equity,0.65,0.73,0.72,0.67,0.67,0.45,0.48,0.69,0.65
Return on Capital Employed,0.23,0.14,0.13,0.07,0.12,0.08,0.14,0.22,0.16
Average Collection Period,616.63,381.23,261.75,264.68,606.21,83.71,97.16,138.24,128.53
Days sales Inventory,59.97,35.70,25.34,28.66,82.18,13.76,7.64,6.81,9.93
Total Assets Turnover,0.39,0.56,0.74,0.64,0.26,1.67,1.77,1.43,1.43
Gross Profit Margin,37.48,14.96,10.04,8.20,30.34,3.77,5.71,9.21,7.37
Net Profit Margin,23.89,9.16,6.65,3.22,24.49,1.75,2.94,6.02,4.37
