Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,3.66,10.62,-3.73,-7.54,1.34,-4.17,0.39,-2.79,-28.05,18.33
Return on Assets,2.06,5.44,-1.75,-2.94,0.53,-1.54,0.15,-0.74,-7.26,5.76
Book Value per Share,36.83,35.44,31.78,20.99,22.59,22.26,23.20,12.50,12.85,16.46
Earning Per Share,1.35,3.76,-1.19,-1.58,0.30,-0.93,0.09,-0.35,-3.06,3.02
Net Working Capital to Total Asseets,0.14,0.07,0.00,-0.06,0.01,0.01,0.04,-0.04,-0.14,-0.06
Current Ratio,1.70,1.28,1.02,0.84,1.03,1.04,1.19,0.88,0.63,0.79
Acid Test,0.70,0.63,0.44,0.36,0.50,0.42,0.34,0.25,0.17,0.24
Times Interest Earned,2.08,4.11,0.54,-0.77,1.30,0.50,1.20,0.95,0.31,1.71
Total Debt Ratio,0.44,0.49,0.53,0.61,0.61,0.63,0.62,0.73,0.74,0.69
Debt To Equity,0.78,0.95,1.14,1.57,1.54,1.71,1.62,2.76,2.86,2.19
Return on Capital Employed,0.06,0.13,0.01,-0.03,0.05,0.03,0.08,0.10,0.05,0.21
Average Collection Period,33.87,23.68,29.58,30.59,13.27,14.30,7.98,11.69,2.55,6.90
Days sales Inventory,185.04,150.62,178.28,199.26,168.68,179.83,196.22,221.83,213.31,207.42
Total Assets Turnover,0.48,0.53,0.35,0.36,0.41,0.40,0.43,0.43,0.36,0.45
Gross Profit Margin,18.52,26.04,9.70,4.30,14.54,8.49,20.14,24.63,15.48,39.05
Net Profit Margin,4.25,10.19,-5.05,-8.23,1.27,-3.86,0.35,-1.73,-20.17,12.89
