Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,889.34,92.17,162.40,188.01,1128.50,92.02,78.27,50.41,63.19,44.99,49.25,67.50
Plow Back,-789.34,7.83,-62.40,-88.01,-1028.50,7.98,21.73,49.59,36.81,55.01,50.75,32.51
Return on Equity,108.18,179.09,146.91,57.36,27.51,18.41,16.69,24.20,20.11,30.00,32.17,25.14
Return on Assets,17.86,36.14,53.10,41.49,24.86,15.77,13.96,20.25,15.91,24.90,23.62,15.71
Book Value per Share,31.18,23.62,36.67,57.96,99.86,147.53,191.42,184.47,157.34,148.19,126.23,103.12
Earning Per Share,16.87,42.31,53.88,33.24,27.47,27.17,31.94,44.64,31.65,44.46,40.61,25.93
Net Working Capital to Total Asseets,-0.02,0.88,0.25,0.60,0.82,0.81,0.80,0.80,0.74,0.78,0.71,0.60
Current Ratio,0.97,0.00,1.41,3.32,10.54,7.02,6.09,6.11,4.69,5.85,3.74,2.62
Acid Test,0.34,0.00,0.77,2.13,6.63,5.40,4.98,5.05,3.09,4.97,3.07,1.87
Times Interest Earned,4.38,30.74,4936.43,2827.65,2175.59,1645.95,5110.33,1666.90,967.12,2191.42,1235.37,616.56
Total Debt Ratio,0.83,0.80,0.64,0.28,0.10,0.14,0.16,0.16,0.21,0.17,0.27,0.38
Debt To Equity,5.06,3.96,1.77,0.38,0.11,0.17,0.20,0.19,0.26,0.20,0.36,0.60
Return on Capital Employed,1.69,0.57,2.07,0.84,0.41,0.26,0.24,0.36,0.30,0.45,0.49,0.38
Average Collection Period,0.25,1.07,0.23,8.44,1.05,0.57,6.55,9.55,0.52,6.45,0.47,0.26
Days sales Inventory,88.86,87.05,62.24,59.55,109.93,123.09,86.71,47.63,121.82,32.97,35.20,83.27
Total Assets Turnover,2.56,2.86,3.21,2.61,1.50,0.88,0.94,1.56,1.18,1.95,2.14,1.43
Gross Profit Margin,18.19,24.08,27.87,27.68,25.94,25.83,22.34,18.89,18.52,19.74,16.78,15.61
Net Profit Margin,6.99,12.66,16.55,15.93,16.52,17.93,14.81,12.97,13.44,12.78,11.06,11.01
