Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,0.00,-102.37,-73.09,-174.48,-58.20,-50.21,-10.92,-13.15,-84.98,-3.65,-28.77,-54.01
Return on Assets,-13.05,-8.85,-10.27,-10.73,-12.16,-8.62,-1.87,-1.56,-8.23,-0.76,-3.69,-7.78
Book Value per Share,-3.85,5.84,11.78,6.51,17.98,13.60,27.53,19.65,13.94,36.61,22.24,27.35
Earning Per Share,-9.69,-5.98,-10.37,-11.36,-10.46,-8.43,-3.01,-2.58,-11.84,-1.33,-6.40,-14.77
Net Working Capital to Total Asseets,-0.62,-0.54,-0.39,-0.24,-0.12,-0.07,0.04,0.10,0.16,-0.36,-0.31,-0.31
Current Ratio,0.32,0.24,0.43,0.68,0.73,0.84,1.11,1.30,1.64,0.45,0.57,0.58
Acid Test,0.12,0.13,0.10,0.26,0.52,0.59,0.69,0.75,0.98,0.32,0.32,0.36
Times Interest Earned,-24.33,-9.30,-8.56,-8.82,-9.81,-3.30,0.20,-0.14,-7.85,9.06,-0.58,-0.18
Total Debt Ratio,1.05,0.91,0.86,0.94,0.79,0.83,0.83,0.88,0.90,0.79,0.87,0.86
Debt To Equity,-20.29,10.57,6.12,15.25,3.79,4.82,4.85,7.42,9.32,3.78,6.81,5.94
Return on Capital Employed,-1.64,-0.29,-0.29,-0.36,-0.22,-0.12,0.01,-0.00,-0.11,0.03,-0.10,-0.06
Average Collection Period,2.47,0.92,2.52,9.96,11.74,14.50,21.33,17.66,3.58,2.83,6.05,9.10
Days sales Inventory,100.48,32.00,122.66,222.63,64.27,48.84,62.66,89.99,87.39,50.08,171.88,77.51
Total Assets Turnover,0.56,0.92,0.62,0.42,0.45,0.84,0.95,0.75,0.65,0.68,0.38,0.79
Gross Profit Margin,-16.76,-0.93,-5.58,-16.09,-23.48,-0.60,0.05,3.25,-4.95,2.77,0.79,0.78
Net Profit Margin,-23.17,-9.58,-16.63,-25.32,-27.10,-10.22,-1.97,-2.07,-12.65,-1.13,-9.58,-9.86
