Year,2020,2019,2018,2017,2016
Payout,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00
Return on Equity,4.30,11.08,21.08,7.61,9.10
Return on Assets,2.74,7.79,14.32,5.24,4.79
Book Value per Share,19.67,20.12,21.42,16.90,15.37
Earning Per Share,0.85,2.23,4.51,1.68,2.12
Net Working Capital to Total Asseets,-0.05,-0.01,0.02,0.01,0.07
Current Ratio,0.48,0.83,1.26,1.23,1.68
Acid Test,0.48,0.83,1.26,1.23,1.68
Times Interest Earned,1.66,3.81,7.01,3.13,2.33
Total Debt Ratio,0.36,0.30,0.32,0.31,0.47
Debt To Equity,0.57,0.42,0.47,0.45,0.90
Return on Capital Employed,0.08,0.12,0.18,0.09,0.10
Average Collection Period,0.00,0.00,45.25,26.72,21.02
Days sales Inventory,1.62,0.00,0.00,0.00,0.00
Total Assets Turnover,0.07,0.04,0.04,0.05,0.06
Gross Profit Margin,68.02,97.37,97.38,97.27,96.59
Net Profit Margin,40.83,181.34,337.01,97.02,79.84
