Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,9.45,52.24,23.51,0.00,10.89,23.39,7.80,0.00,0.00,9.25
Plow Back,100.00,100.00,100.00,90.55,47.76,76.49,100.00,89.11,76.61,92.19,100.00,100.00,90.75
Return on Equity,-6.43,-16.00,1.47,13.75,2.46,5.53,8.16,14.59,11.57,10.31,1.04,8.42,52.90
Return on Assets,-2.88,-5.19,0.57,5.94,1.08,2.25,3.77,6.06,2.92,3.43,0.22,2.29,12.28
Book Value per Share,411.79,315.69,460.98,461.71,389.12,384.86,365.31,314.58,277.17,248.61,143.00,141.52,163.52
Earning Per Share,-26.50,-50.51,6.79,63.47,9.57,21.27,29.82,45.91,32.07,25.63,1.48,11.92,72.08
Net Working Capital to Total Asseets,-0.11,-0.07,0.04,0.09,-0.01,-0.02,0.02,0.05,0.00,-0.03,-0.07,-0.09,-0.09
Current Ratio,0.76,0.88,1.08,1.23,0.96,0.96,1.04,1.09,1.01,0.96,0.91,0.87,0.88
Acid Test,0.51,0.66,0.83,1.00,0.65,0.73,0.69,0.76,0.84,0.69,0.75,0.70,0.74
Times Interest Earned,-2.88,-0.15,0.65,5.25,-3.51,3.34,757.61,9.67,3.79,79.42,2.59,2.19,6.65
Total Debt Ratio,0.55,0.68,0.61,0.57,0.56,0.59,0.54,0.58,0.75,0.67,0.79,0.73,0.77
Debt To Equity,1.23,2.09,1.57,1.32,1.28,1.45,1.17,1.41,2.96,2.00,3.80,2.69,3.31
Return on Capital Employed,-0.06,-0.02,0.04,0.12,-0.01,0.03,0.04,0.20,0.16,0.17,0.06,0.26,0.71
Average Collection Period,38.77,46.28,44.35,38.43,37.78,44.32,27.60,39.11,116.12,78.56,125.95,73.27,35.88
Days sales Inventory,33.86,27.44,35.46,29.72,46.11,24.41,25.75,28.32,27.13,36.53,31.93,26.36,21.93
Total Assets Turnover,1.22,1.70,1.28,1.11,0.88,1.60,2.59,2.53,1.65,1.83,1.51,1.74,1.87
Gross Profit Margin,-4.32,-2.30,-0.83,4.27,-1.35,0.43,0.08,1.85,1.31,1.34,-0.58,2.48,4.28
Net Profit Margin,-2.36,-3.05,0.45,5.34,1.23,1.41,1.45,2.40,1.77,1.88,0.14,1.32,6.56
