Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,0.00,23.51,22.73,18.67,7.66,7.59,20.97,35.62,47.12
Plow Back,100.00,100.00,100.00,100.00,76.49,77.27,81.33,92.34,92.41,79.03,64.38,52.88
Return on Equity,-8.78,-11.41,-4.37,-4.94,7.77,5.38,10.85,14.68,17.12,7.36,9.06,7.27
Return on Assets,-4.03,-5.61,-2.22,-2.56,4.56,3.18,6.18,7.25,7.64,2.70,3.02,2.36
Book Value per Share,80.96,88.06,98.11,102.39,109.45,102.19,98.70,88.98,76.93,64.75,61.99,58.37
Earning Per Share,-7.10,-10.05,-4.29,-5.06,8.51,5.50,10.71,13.06,13.17,4.77,5.61,4.24
Net Working Capital to Total Asseets,0.09,0.09,0.07,0.07,0.11,0.10,0.01,-0.03,-0.15,-0.26,-0.11,-0.09
Current Ratio,1.17,1.18,1.14,1.15,1.26,1.28,1.01,0.91,0.66,0.52,0.73,0.78
Acid Test,1.00,1.01,0.99,0.85,1.05,1.03,0.66,0.62,0.41,0.30,0.36,0.44
Times Interest Earned,0.20,-0.24,0.34,0.17,2.51,1.75,2.31,2.25,1.93,1.31,1.35,1.25
Total Debt Ratio,0.54,0.51,0.49,0.48,0.41,0.41,0.43,0.51,0.55,0.63,0.67,0.68
Debt To Equity,1.18,1.03,0.97,0.93,0.70,0.69,0.76,1.02,1.24,1.73,2.00,2.09
Return on Capital Employed,0.02,-0.02,0.02,0.01,0.13,0.11,0.17,0.21,0.29,0.25,0.20,0.20
Average Collection Period,196.87,197.53,114.33,129.28,102.39,85.78,44.43,45.23,37.49,32.48,36.65,55.87
Days sales Inventory,123.23,97.50,43.35,99.46,41.53,30.48,24.63,29.52,31.87,44.68,59.88,66.95
Total Assets Turnover,0.28,0.30,0.66,0.56,0.86,1.11,1.52,1.51,1.48,1.11,1.09,0.87
Gross Profit Margin,9.57,0.13,2.19,6.16,11.99,6.18,7.84,10.26,10.79,11.94,12.35,15.24
Net Profit Margin,-14.16,-18.50,-3.39,-4.56,5.28,2.87,4.06,4.81,5.17,2.42,2.77,2.69
